AccountId,CreationDate,Reputation,Views,UpVotes,DownVotes,LastAccessDate
-1,2014-05-13T21:29:22.820,1,0,780,679,2014-05-13T21:29:22.820
37099,2014-05-13T22:58:54.810,101,256,0,0,2018-08-19T18:07:35.607
2,2014-05-13T22:59:19.787,101,7,0,0,2017-12-19T18:52:19.423
3046327,2014-05-13T23:15:34.483,101,6,1,3,2018-02-21T21:19:57.513
2365,2014-05-13T23:16:09.937,101,8,0,0,2014-08-04T15:25:54.810
1266491,2014-05-13T23:16:11.013,152,26,1,2,2018-08-01T15:02:19.293
935589,2014-05-13T23:16:26.517,101,10,10,1,2018-07-13T13:16:36.830
1703573,2014-05-13T23:17:05.443,101,4,2,1,2018-08-30T14:44:14.513
1083,2014-05-13T23:17:26.850,101,2,0,0,2017-11-28T19:01:35.690
1369656,2014-05-13T23:18:21.653,952,18,2,0,2018-05-01T13:04:31.720
168972,2014-05-13T23:18:31.953,101,3,1,0,2018-08-27T19:56:52.823
384734,2014-05-13T23:20:53.387,198,8,10,0,2018-08-26T01:54:18.140
463168,2014-05-13T23:21:22.017,101,1,0,0,2018-04-02T21:34:06.720
92888,2014-05-13T23:24:41.720,1882,74,31,0,2018-06-27T01:16:38.020
246792,2014-05-13T23:25:18.390,101,1,3,0,2018-04-30T23:39:33.970
851,2014-05-13T23:25:24.423,101,1,0,0,2018-05-27T23:02:29.253
141826,2014-05-13T23:25:26.320,126,3,0,0,2018-08-08T04:03:42.623
164368,2014-05-13T23:27:57.393,101,1,9,2,2018-07-27T06:53:34.257
1357744,2014-05-13T23:29:01.660,101,1,3,0,2015-05-26T17:14:17.017
3110483,2014-05-13T23:30:33.990,101,1,1,1,2014-05-14T21:41:38.853
25066,2014-05-13T23:30:57.300,3874,807,794,138,2018-09-01T23:02:57.087
2876998,2014-05-13T23:37:18.040,303,13,18,1,2018-04-24T20:17:13.097
82500,2014-05-13T23:37:56.217,101,2,1,0,2017-04-09T19:09:49.120
357628,2014-05-13T23:40:15.857,171,4,6,0,2018-06-08T02:52:12.007
1849196,2014-05-13T23:41:11.490,101,1,0,0,2014-09-13T17:31:25.853
2048845,2014-05-13T23:41:54.430,2124,88,52,3,2018-08-20T12:59:02.433
3035593,2014-05-13T23:42:08.317,101,1,0,0,2014-05-14T14:17:15.610
508474,2014-05-13T23:48:32.030,101,2,1,0,2014-06-29T21:54:12.353
30276,2014-05-13T23:49:30.673,101,2,1,0,2018-07-02T19:49:15.403
4623,2014-05-13T23:50:13.673,101,6,0,0,2018-02-13T10:32:46.480
3003730,2014-05-13T23:50:14.023,1,9,0,0,2014-06-24T06:11:54.010
2005857,2014-05-13T23:51:27.363,101,2,0,0,2016-09-11T03:37:47.067
240133,2014-05-13T23:52:28.653,101,1,0,0,2017-03-19T19:57:03.613
178774,2014-05-13T23:52:38.693,166,3,5,0,2018-01-15T17:13:20.597
140824,2014-05-13T23:54:11.350,101,1,0,0,2017-09-01T17:07:42.177
2517426,2014-05-13T23:54:47.373,267,24,7,3,2018-07-23T01:57:05.613
66968,2014-05-13T23:54:59.453,105,5,3,0,2017-09-07T13:58:03.490
3171311,2014-05-13T23:55:25.117,101,1,123,3,2015-12-23T14:19:16.467
1950386,2014-05-14T00:00:41.157,101,1,0,0,2014-06-12T21:00:47.113
542447,2014-05-14T00:03:00.530,1,1,0,0,2014-05-14T00:22:25.890
2415655,2014-05-14T00:08:10.747,101,10,2,0,2017-11-22T17:37:29.333
2100887,2014-05-14T00:11:32.677,1,1,0,0,2014-05-15T17:53:27.440
427095,2014-05-14T00:12:51.907,101,3,6,0,2017-08-18T14:20:28.160
3115497,2014-05-14T00:19:21.610,101,1,0,0,2014-05-20T20:50:23.343
19662,2014-05-14T00:23:09.040,101,2,4,0,2014-09-30T22:58:43.960
455662,2014-05-14T00:24:45.813,101,3,0,0,2018-06-14T18:32:05.247
1668748,2014-05-14T00:26:47.340,101,4,0,3,2016-12-16T07:59:46.710
34933,2014-05-14T00:27:56.143,101,8,0,4,2018-08-27T00:49:31.260
423006,2014-05-14T00:28:50.400,176,10,12,2,2018-01-15T21:26:10.953
1425205,2014-05-14T00:29:31.397,146,4,3,0,2018-06-25T13:54:23.697
1841194,2014-05-14T00:33:36.420,374,7,10,0,2017-11-05T03:18:01.977
4467497,2014-05-14T00:46:10.930,1,1,0,0,2016-06-21T16:46:06.700
326925,2014-05-14T00:46:24.547,101,1,0,0,2014-05-14T16:50:04.043
3647613,2014-05-14T00:46:50.220,1,2,0,0,2014-08-09T13:57:37.810
949548,2014-05-14T00:52:21.890,101,1,0,0,2018-08-29T03:15:05.600
4340631,2014-05-14T00:54:11.723,1,2,0,0,2014-05-14T22:33:28.200
1636880,2014-05-14T00:55:08.797,966,20,12,0,2018-08-14T19:32:36.063
3001493,2014-05-14T00:56:07.527,101,1,0,0,2014-05-14T00:56:07.527
620,2014-05-14T00:57:50.840,101,3,0,1,2017-10-09T17:11:02.843
1609527,2014-05-14T00:58:22.307,571,84,8,16,2018-04-06T16:56:44.507
2640702,2014-05-14T01:03:53.753,195,4,4,0,2018-07-26T05:34:17.010
4078143,2014-05-14T01:07:20.883,50,3,2,0,2017-02-16T17:59:08.513
2415527,2014-05-14T01:10:32.410,101,2,0,0,2016-05-21T07:25:58.177
84539,2014-05-14T01:14:14.013,225,5,6,0,2018-07-21T11:45:42.407
38872,2014-05-14T01:29:11.433,101,1,0,0,2014-05-14T02:03:08.510
26626,2014-05-14T01:35:31.940,101,1,0,0,2018-07-11T04:31:00.537
458885,2014-05-14T01:40:28.780,101,1,1,0,2014-05-14T04:26:39.700
2886075,2014-05-14T01:46:33.170,181,2,11,0,2017-06-24T03:19:37.023
399801,2014-05-14T01:52:05.273,143,2,4,0,2018-08-08T06:23:08.793
183318,2014-05-14T01:53:39.940,101,1,4,0,2014-09-23T14:30:19.960
78873,2014-05-14T01:54:06.323,1,2,0,0,2014-06-11T15:57:42.050
2748037,2014-05-14T02:11:52.550,1,1,0,0,2014-05-14T02:11:52.550
1429013,2014-05-14T02:15:03.563,687,67,79,3,2018-08-25T12:00:22.700
3792255,2014-05-14T02:16:45.550,101,1,0,0,2018-03-30T06:39:15.737
49383,2014-05-14T02:31:42.773,76,8,34,0,2018-08-23T01:05:39.737
970,2014-05-14T02:32:20.483,101,4,11,0,2018-06-15T02:38:45.417
1715779,2014-05-14T02:48:32.760,101,2,3,0,2015-08-14T16:18:58.107
3387953,2014-05-14T03:06:21.010,101,2,0,0,2018-07-02T17:33:40.723
